Id,MSSubClass,LotArea,YearBuilt,SaleCondition,SalePrice
1736,20,7150,1962,Normal,130049.15600737254
1737,20,15676,1980,Normal,260593.77283476706
1738,60,11949,1991,Normal,215264.2546294322
1739,160,2880,2004,Normal,247043.9508058392
1740,120,3830,2008,Partial,223763.69693867286
1741,120,4217,2008,Normal,196082.84727872073
1742,160,2998,2000,Normal,177786.94449016466
1743,160,3768,1999,Normal,185964.03046058994
1744,20,14694,1977,Normal,253751.8180605852
1745,20,15417,1981,Normal,203528.6219576108
1746,80,9600,1976,Abnorml,206171.53084480923
1747,60,12732,1974,Normal,198416.0192464943
1748,60,10400,1967,Normal,197915.77954305656
1749,20,9600,1969,Normal,160988.261066971
1750,20,9000,1969,Abnorml,139724.1471120602
1751,60,13774,1977,Normal,203992.90800979393
1752,20,7130,1967,Normal,132300.2206628029
1753,20,9600,1967,Normal,156145.6122834675
1754,60,9600,1974,Abnorml,183889.74669767654
1755,85,16500,1971,Normal,166376.71502911032
1756,20,7436,1960,Normal,133285.5386885346
1757,20,8125,1959,Normal,127470.68095151817
1758,20,9450,1957,Normal,151820.8627880739
1759,20,13495,1956,Normal,161105.11211084717
1760,20,9350,1961,Normal,158995.7328514769
1761,20,10500,1964,Abnorml,149067.67496886247
1762,60,8970,1965,Normal,173148.72702230077
1763,80,11475,1961,Normal,166232.924309628
1764,20,9768,1955,Normal,130196.55790747215
1765,20,9900,1967,Normal,169792.77604495606
1766,20,10573,1961,Normal,172308.45529877648
1767,20,14695,1966,Normal,187995.88979633732
1768,20,8760,1956,Normal,147354.2790398234
1769,20,12285,1960,Normal,160416.20203314416
1770,20,9240,1959,Normal,154487.77631901368
1771,20,8750,1956,Abnorml,138458.97958614604
1772,20,8750,1955,Normal,139506.79207062136
1773,20,10400,1956,Family,140340.12644047357
1774,90,9482,1958,Normal,160013.90279456833
1775,20,8128,1954,Normal,132846.64788199088
1776,20,13070,1951,Normal,134492.03043152063
1777,30,8480,1945,Normal,123258.38651945099
1778,20,7626,1952,Normal,144591.09624458847
1779,20,9533,1953,Normal,141525.45639229208
1780,60,11419,1948,Normal,161868.80285094248
1781,20,9600,1950,Normal,136761.45548282505
1782,20,5470,1958,Normal,121747.78624840014
1783,60,10800,1939,Normal,155735.17566131728
1784,70,8146,1900,Normal,128675.02917102232
1785,30,10230,1925,Normal,130339.1394363426
1786,50,10410,1915,Normal,165933.49201648124
1787,70,7200,1910,Normal,173326.44398286377
1788,30,5400,1940,Normal,111655.27404032968
1789,30,10800,1920,Normal,125295.94670041012
1790,30,10800,1890,Normal,119518.13171778953
1791,90,9671,1969,Normal,178638.5946358016
1792,20,10143,1963,Normal,142004.5359086107
1793,20,11500,1967,Normal,149633.45620587264
1794,20,8010,1958,Normal,150322.84470997422
1795,20,10454,1957,Normal,133681.9874193713
1796,20,9000,1958,Normal,142810.6408546906
1797,50,8064,1950,Abnorml,133138.2619224451
1798,20,7350,1958,Normal,131594.38889941975
1799,20,7200,1952,Normal,122843.76831893153
1800,80,8000,1959,Normal,137549.00938295462
1801,50,10800,1949,Normal,135924.50626982842
1802,50,8064,1948,Abnorml,142101.76097995014
1803,60,7570,1964,Normal,152430.50435461185
1804,90,8604,1978,Normal,146902.17688136248
1805,20,7936,1963,Normal,136961.03338280148
1806,50,4080,1935,Normal,126105.5193453709
1807,90,10307,1910,Normal,136202.83968557985
1808,50,15660,1910,Normal,137917.0098982302
1809,70,9900,1910,Normal,145337.07820028736
1810,70,6406,1939,Normal,140380.15536440597
1811,190,7627,1920,Normal,129673.59586274909
1812,50,10134,1910,Normal,114051.88510637646
1813,50,6000,1950,Normal,124687.16752183402
1814,30,7404,1920,Normal,117842.80956578215
1815,30,5925,1940,Normal,101701.94975012487
1816,30,8520,1923,Normal,126101.95303925686
1817,70,9600,1910,Normal,155849.52175092418
1818,70,8400,1900,Normal,155740.58170277893
1819,70,3600,1917,Normal,134675.30890648603
1820,30,3300,1910,Normal,111290.36728207543
1821,50,5400,1920,Family,128004.12079627608
1822,70,9720,1910,Normal,158031.61974152175
1823,30,9392,1900,Abnorml,99383.5654064787
1824,30,6615,1923,Normal,134781.1429239181
1825,70,4960,1930,Normal,144181.6193334092
1826,50,6000,1924,Normal,126950.93711857655
1827,30,6120,1925,Abnorml,120391.63146883759
1828,50,6120,1938,Normal,133443.36443062345
1829,30,8635,1925,Normal,129380.71638268464
1830,70,8094,1915,Normal,143802.21683826006
1831,70,9928,1915,Normal,149355.07687341637
1832,90,3000,1922,Abnorml,129922.8624606693
1833,70,6876,1927,Normal,146340.605797181
1834,70,5775,1915,Normal,137366.69966313572
1835,190,5852,1902,Normal,144206.34671253696
1836,50,5160,1927,Normal,129370.77044358874
1837,85,5160,1923,Abnorml,118930.45008971798
1838,190,10320,1915,Normal,131123.931261491
1839,20,4280,1946,Normal,123355.45293034261
1840,90,10800,1987,Alloca,148116.1011514976
1841,90,10547,1978,Normal,143900.0982375281
1842,50,9780,1934,Normal,117954.60007601358
1843,20,11625,1967,Abnorml,147293.58743877098
1844,85,8014,1978,Normal,146382.4908803651
1845,80,15400,1961,Normal,153700.9890623116
1846,80,15312,1960,Normal,153313.03259075325
1847,80,15584,1956,Normal,168813.07664227602
1848,20,9000,1947,Normal,100983.63863410568
1849,20,15635,1954,Normal,142357.05862393993
1850,20,9571,1956,Normal,128896.39565826379
1851,60,9350,1946,Normal,148053.60646249453
1852,20,7440,1954,Normal,135223.75158564083
1853,120,4235,1984,Normal,164242.58931306325
1854,80,10778,1990,Normal,180493.1513514275
1855,80,19255,1983,Normal,173045.8390144097
1856,60,10560,1993,Normal,216595.69260094155
1857,70,26400,1880,Normal,179524.2002595954
1858,90,7018,1979,Alloca,151066.74645470153
1859,90,7018,1979,Alloca,148987.21013422997
1860,90,7040,1979,Alloca,157817.9314640859
1861,90,7007,1979,Alloca,148813.23945658572
1862,90,11855,2000,Normal,260483.32766900823
1863,90,7939,2000,Normal,254598.36682953138
1864,90,7976,2000,Normal,254598.36682953138
1865,20,10933,2009,Partial,320068.381785884
1866,20,10816,2008,Normal,312757.380472962
1867,20,9178,2008,Normal,239912.48003476977
1868,20,11422,2007,Normal,284486.1842077024
1869,20,6762,2007,Normal,204118.9964227099
1870,20,10324,2008,Normal,236483.43281723396
1871,20,11645,2005,Normal,268908.5034364233
1872,60,11646,2005,Normal,197915.3154973039
1873,60,16698,1992,Normal,216458.7971711115
1874,20,9757,1994,Normal,150942.7955545906
1875,20,14753,1998,Normal,194556.32848351038
1876,60,8750,1998,Normal,190027.969078835
1877,20,10739,2002,Normal,213714.88427658082
1878,20,11166,2001,Family,215807.82647365492
1879,20,16269,1978,Normal,137526.4110465152
1880,20,6950,1979,Normal,138288.91883654764
1881,20,11664,2002,Normal,248735.16923888595
1882,60,12334,2003,Normal,234128.69079942867
1883,60,8749,2002,Normal,200410.74077089175
1884,60,11250,2001,Normal,207435.03069000077
1885,20,15750,1999,Normal,239571.6722391025
1886,20,12782,2002,Normal,282854.062228627
1887,20,8750,1997,Normal,207519.25266012215
1888,20,10200,2007,Normal,260924.585626259
1889,60,11069,2007,Normal,194825.06985592406
1890,20,10682,1960,Normal,140555.36113136745
1891,180,3675,2005,Normal,151462.03336184987
1892,20,6410,1959,Normal,123264.48684261578
1893,20,11767,1950,Normal,140514.9295065269
1894,90,10926,1959,Normal,144334.77058336965
1895,20,11767,1956,Normal,149779.6846797993
1896,50,8212,1941,Normal,131064.47583027511
1897,50,6300,1938,Abnorml,135050.13236809085
1898,70,5707,1935,Normal,130263.65374132081
1899,30,8574,1916,Normal,156201.46807486351
1900,70,7155,1918,Normal,137782.20758552954
1901,50,13680,1940,Normal,151026.36583440448
1902,20,14680,1960,Normal,143085.9441704053
1903,90,8145,1940,Normal,183377.74749948052
1904,20,9100,1954,Family,140899.05448648424
1905,20,13339,1960,Normal,174727.81227901203
1906,50,15600,1949,Normal,151795.94501038044
1907,20,17500,1954,Normal,182717.16121723515
1908,160,1733,1980,Normal,136301.56985532845
1909,160,1488,1980,Normal,153345.31336705972
1910,160,1612,1980,Normal,146776.2819466134
1911,80,13607,1986,Normal,180088.67894772234
1912,20,17597,1971,Normal,247993.84803970397
1913,70,8660,1900,Normal,167075.68396575653
1914,30,10200,1925,Normal,103050.75434390786
1915,120,3843,2007,Partial,280115.1329071405
1916,30,21780,1910,Normal,111033.3739149435
1917,60,10125,2000,Normal,243064.2980688937
1918,85,9750,1977,Normal,138119.68642737626
1919,85,9360,1977,Normal,155975.9255886286
1920,20,11070,1991,Abnorml,170914.31170370354
1921,20,13438,2008,Normal,368046.4580819016
1922,20,14463,2008,Normal,303039.0549036578
1923,60,9839,1980,Normal,189992.99534933662
1924,80,14419,1987,Normal,217633.26320041527
1925,60,9157,2003,Abnorml,212040.73187490884
1926,20,12633,2007,Normal,347670.5586999096
1927,20,12518,1968,Normal,138816.06609522225
1928,20,13383,1969,Normal,161813.82137155085
1929,85,7689,1972,Normal,130923.18252063595
1930,80,7706,1993,Normal,148511.86094187188
1931,85,7669,1992,Normal,157052.86016422763
1932,60,10429,1992,Normal,153771.82489121734
1933,60,10457,1969,Normal,179966.7415113501
1934,60,8702,1997,Normal,176827.68522717536
1935,60,8139,1995,Normal,178794.77688498516
1936,60,9535,1998,Normal,183497.23667068858
1937,60,15038,1996,Normal,181659.25131987882
1938,20,14137,1996,Normal,186242.31089478318
1939,120,6264,1997,Normal,231807.27098941628
1940,120,5070,1992,Normal,200958.76618121524
1941,60,11184,1998,Family,181243.49424396502
1942,60,14067,1991,Normal,185659.35066704394
1943,120,5950,1989,Normal,206806.61467168384
1944,60,13543,2005,Normal,304909.9557603666
1945,20,15401,2004,Normal,335673.2311599115
1946,20,31220,1952,Normal,158728.20738489422
1947,120,8118,2007,Normal,277120.563555251
1948,20,47280,1950,Family,168180.2049036596
1949,20,12680,1988,Normal,223581.01987943889
1950,20,10825,1983,Normal,179980.7397648981
1951,20,18559,1978,Normal,236843.01536564255
1952,20,14450,1979,Normal,213243.00631492003
1953,20,13068,1976,Normal,173166.9820944164
1954,60,10400,1980,Normal,183541.78877931248
1955,60,9743,1969,Normal,141660.35444623206
1956,60,12511,1978,Normal,259728.1996745025
1957,20,10400,1976,Normal,159509.01590888115
1958,60,14311,1996,Normal,279461.10575442034
1959,90,9000,1974,Normal,152489.2333776647
1960,20,10295,1969,Normal,129135.60021042993
1961,20,7560,1971,Normal,133996.2538376929
1962,160,1680,1973,Normal,121328.91517415934
1963,160,1890,1972,Normal,123025.60012707023
1964,160,1680,1972,Normal,129291.22172790604
1965,160,2308,1975,Normal,154464.34476322634
1966,120,2529,1977,Normal,154070.5001615067
1967,20,12704,2007,Partial,284371.3130604775
1968,20,13693,2007,Normal,367116.65616048785
1969,20,14418,2007,Normal,355455.94808221457
1970,60,13418,2006,Abnorml,371882.2309310968
1971,60,12539,2005,Normal,364026.87260101177
1972,60,12151,2005,Normal,326155.46253577946
1973,60,8899,2007,Normal,252511.33036224198
1974,60,10574,2004,Normal,303141.4301169188
1975,20,12720,2003,Normal,400761.074612123
1976,20,10845,2003,Normal,265634.36595569487
1977,60,16900,2001,Normal,338380.8486118681
1978,60,16451,2003,Normal,323123.2501000371
1979,120,10110,2008,Partial,307696.395413413
1980,120,12304,2005,Normal,208684.58557170676
1981,120,8232,2007,Partial,332132.866541122
1982,120,6240,2006,Normal,217229.8777728105
1983,120,6240,2006,Normal,214364.65932868893
1984,160,2448,2003,Normal,188666.97477982967
1985,120,3940,2003,Normal,222208.22036942976
1986,120,3940,2004,Normal,225890.27869641388
1987,20,3710,2007,Partial,197678.3142373569
1988,60,9024,2004,Normal,197575.5521439869
1989,60,8010,2002,Normal,202135.93424964743
1990,60,8396,2003,Normal,213785.22643761293
1991,120,7301,2007,Partial,210997.986534317
1992,60,8220,2000,Normal,205759.10352785856
1993,60,7750,2002,Normal,195292.79297232465
1994,60,12460,1999,Normal,220020.87381311163
1995,60,8390,1999,Normal,186374.41591448485
1996,75,9660,1997,Normal,245362.60725811785
1997,60,11000,2000,Normal,302028.8273319715
1998,20,11675,1998,Normal,303185.5339968185
1999,60,10990,1996,Normal,252195.2731513307
2000,60,11929,1995,Normal,274361.50368143193
2001,60,10010,1993,Normal,265777.93884681654
2002,20,13253,2006,Normal,242523.90327936664
2003,60,9801,2007,Normal,251031.46894373873
2004,60,9428,2007,Partial,265550.40434268554
2005,20,10037,2006,Normal,228629.77771822622
2006,20,8640,2007,Partial,211671.65761647304
2007,20,10625,2007,Normal,246143.1998097014
2008,20,7500,2007,Partial,204488.764958669
2009,60,10110,2003,Normal,200663.42062645583
2010,60,12774,2003,Normal,205680.759193122
2011,20,13072,2005,Normal,151002.2665592543
2012,20,9260,2007,Normal,195049.5966048477
2013,60,8453,1995,Normal,192997.97365844925
2014,60,8480,1993,Normal,197126.41339906387
2015,60,14565,1994,Normal,203391.5051669021
2016,60,8450,2001,Normal,198757.24135984725
2017,60,8285,1992,Normal,207042.8293646537
2018,20,9100,1963,Normal,141271.70929659624
2019,20,8100,1961,Normal,139971.7223703514
2020,190,8450,1968,Normal,122033.98592595493
2021,20,6360,1963,Abnorml,130394.63856678885
2022,20,19508,1974,Normal,170109.18244353498
2023,50,10759,1972,Normal,149029.5274955032
2024,60,9205,1990,Normal,232638.85138031037
2025,60,11025,1993,Normal,293995.7902215713
2026,120,3435,2004,Normal,194362.92740422493
2027,160,3180,2005,Normal,178144.23370858454
2028,160,3180,2007,Abnorml,179314.06142498998
2029,160,2280,1999,Normal,167498.97451207563
2030,120,4765,2000,Normal,246454.46643407733
2031,120,4538,2001,Normal,220386.64017963334
2032,120,4385,2001,Normal,231680.08385569256
2033,120,4109,1999,Normal,240543.13253859803
2034,160,2160,1999,Normal,179398.1559855394
2035,60,10646,2001,Normal,196864.7207103237
2036,160,2645,1999,Normal,195901.11847724437
2037,160,2645,1999,Normal,197936.94062477237
2038,160,3951,1998,Normal,256291.9606537559
2039,120,11064,1995,Normal,209664.5156048483
2040,60,24572,1977,Family,271169.6390962024
2041,20,16280,1976,Normal,233749.1200325832
2042,60,7500,2002,Normal,200389.189685004
2043,80,11104,1969,Normal,161864.11279696305
2044,20,11050,1968,Family,169465.24887991222
2045,20,15387,1967,Normal,185334.0532697907
2046,90,9750,1965,Normal,148943.92056684545
2047,60,8814,1968,Normal,148080.55977202248
2048,20,8125,1965,Normal,144330.08694750033
2049,90,11072,1965,Normal,150215.06994714984
2050,60,13355,1971,Normal,167268.0959000206
2051,20,7785,1956,Normal,128715.80871553073
2052,20,9900,1961,Abnorml,142704.78989229762
2053,20,11332,1960,Normal,143910.4046730162
2054,70,4882,1937,Normal,119063.36953494484
2055,20,9600,1960,Normal,165163.66423234149
2056,20,9600,1950,Normal,148221.33594058934
2057,20,7584,1953,Normal,133213.0777065417
2058,60,14670,1966,Normal,204301.00607899012
2059,20,8856,1957,Normal,143261.05479964477
2060,20,9840,1959,Normal,160977.75740968392
2061,20,13200,1958,Normal,163432.64832937185
2062,20,10425,1956,Normal,136349.70866802096
2063,20,11556,1952,Normal,131193.91000620474
2064,20,9373,1953,Normal,139834.88479522718
